#{"t_start": 1776737730.998286, "env_id": "Hopper-v5"}
r,l,t
12.250078,16,0.808241
4.824257,9,0.813347
13.122548,24,0.818594
9.469287,12,0.821631
12.324991,19,0.825328
157.098978,103,0.847624
9.556997,13,0.850337
27.436415,29,0.874388
12.411983,14,0.885286
8.597449,13,0.888224
15.823831,23,0.897823
15.711561,16,0.901159
6.031982,10,0.903163
32.01104,26,0.908638
32.117745,27,0.914027
12.469909,18,0.917453
25.305785,43,0.925677
55.170025,44,0.934617
21.27115,19,0.938212
10.189182,23,0.943088
6.714347,10,0.945025
4.499147,29,0.950532
67.238291,43,0.958933
7.488302,17,0.962035
79.965921,50,0.971429
11.205628,15,0.974324
11.816627,19,0.977956
10.320483,20,0.981763
8.289775,21,0.985629
59.458882,39,0.993098
9.766513,18,0.996431
17.705131,26,1.001565
2.979084,9,1.003281
8.682264,15,1.006062
10.278221,13,1.008497
7.406511,27,1.013738
10.753699,18,1.017084
10.137792,14,1.019736
22.841656,26,1.024929
31.975426,36,1.032619
23.790491,39,1.040227
4.006998,14,1.042889
8.380466,16,1.046067
18.147083,27,1.051003
6.551003,11,1.052987
8.841562,11,1.055124
15.247725,21,1.05907
3.844753,10,1.060931
13.451899,20,1.064947
7.533798,12,1.067061
13.89298,15,1.069834
6.47421,12,1.071974
6.923335,11,1.073986
6.574005,10,1.075722
10.242474,24,1.080401
5.530566,12,1.082595
5.113424,8,1.083966
10.227372,15,1.086877
14.16496,21,1.090768
17.228815,31,1.096722
13.92351,22,1.101287
4.816305,11,1.10338
5.416877,15,1.106429
13.933375,16,1.109788
22.320815,24,1.114911
4.847955,10,1.116955
19.117419,19,1.120769
9.428887,11,1.12296
15.136038,17,1.126223
14.35118,18,1.130147
7.932837,13,1.132689
9.444786,14,1.135227
22.09317,34,1.142286
10.369983,14,1.144738
7.185481,12,1.14699
5.299685,8,1.148842
3.315341,11,1.151432
23.89393,24,1.155854
9.140704,17,1.159493
8.793695,18,1.163624
5.917202,17,1.167465
14.178277,14,1.170714
10.166699,18,1.174446
18.303616,20,1.178124
9.983406,15,1.18101
7.38229,12,1.183165
7.828385,11,1.185056
10.190589,26,1.190295
7.364819,13,1.19278
12.236969,14,1.195368
8.489233,12,1.197469
11.109168,13,1.200151
3.952121,11,1.202179
11.180054,15,1.205205
6.832939,21,1.209184
14.788733,25,1.214108
5.351736,10,1.215853
10.298695,14,1.218408
4.894764,8,1.21973
5.080659,9,1.221274
32.736208,28,1.226528
19.693603,23,1.230748
9.546303,24,1.235711
6.737629,17,1.239177
56.592968,48,1.653854
49.894574,35,1.660626
28.914361,37,1.6679
85.490331,49,1.677359
30.958064,26,1.682491
8.242119,12,1.684795
35.605863,35,1.691503
26.948117,33,1.697609
29.207949,35,1.703973
17.323349,18,1.707206
6.455454,9,1.708805
10.720232,15,1.711474
39.099772,41,1.718861
17.028351,21,1.722669
87.0398,53,1.732047
16.438795,16,1.734872
7.092685,13,1.737145
25.683586,38,1.743996
77.703413,46,1.752296
35.497436,30,1.757795
26.769924,25,1.762179
137.124947,70,1.774576
85.532093,54,1.78425
13.728089,18,1.78748
10.071509,20,1.791071
7.444789,10,1.792797
25.004996,38,1.799604
17.963223,26,1.804294
8.005907,12,1.806405
175.418682,119,1.827733
20.304588,44,1.836151
11.763899,14,1.838817
16.080908,16,1.841892
18.828221,23,1.846332
3.815116,9,1.847977
28.394078,25,1.852773
5.770954,10,1.854717
32.319741,38,1.862048
9.382792,21,1.865887
52.97667,39,1.873223
7.650376,17,1.876399
7.655761,13,1.878666
13.330305,18,1.881908
9.660685,25,1.886507
17.077231,18,1.889776
40.252409,34,1.89597
7.100692,12,1.89809
8.19947,14,1.900627
18.442899,22,1.904554
97.329997,90,1.920492
23.589862,22,1.924378
10.640843,15,1.92703
17.479665,25,1.931588
48.792253,34,1.937651
8.623041,19,1.941076
7.83815,12,1.943258
17.290123,18,1.946461
23.709631,31,1.952075
45.030121,33,1.957767
9.184771,15,1.960413
11.835714,18,1.96364
29.306755,28,1.968618
44.901181,47,1.977181
15.472367,25,1.981579
12.131499,13,1.983957
8.778713,12,1.986082
12.298968,21,1.98988
12.467851,16,1.992719
31.743582,42,2.000844
23.936139,24,2.005045
14.544628,17,2.008434
21.055082,31,2.014454
20.424508,20,2.01832
14.811748,17,2.021659
7.775176,20,2.400991
105.415902,63,2.412791
10.37221,20,2.416446
5.909212,9,2.418013
82.506825,75,2.431667
38.4773,37,2.438474
85.246529,66,2.450588
29.587076,45,2.458857
6.460222,10,2.460594
23.051162,21,2.464353
52.767161,42,2.471953
13.048293,14,2.474461
109.255542,87,2.490316
53.164448,32,2.496107
53.298306,43,2.503808
11.07691,26,2.508485
4.696706,8,2.50983
76.37461,47,2.518277
16.249173,32,2.524154
37.473094,29,2.52935
7.525072,13,2.531734
51.895703,39,2.539622
25.031733,37,2.547521
61.681638,40,2.555331
7.187904,11,2.557574
84.17753,48,2.5669
116.22181,71,2.581292
31.392114,25,2.585902
11.700201,17,2.589218
27.726011,24,2.593566
12.112688,14,2.596222
42.58051,29,2.601973
64.436725,45,2.61104
72.568188,48,2.621011
54.759035,61,2.632785
13.135665,22,2.637883
95.958175,54,2.648737
24.326003,23,2.652991
6.69166,10,2.654694
61.550029,37,2.66267
3.609492,18,2.666373
9.797849,12,2.668827
77.672539,60,2.681693
12.006467,15,2.684487
38.570764,29,2.692004
70.272024,43,2.709138
87.167801,53,2.733508
10.539145,15,2.736757
74.758153,46,2.75346
27.868005,26,2.760096
155.353452,111,2.788595
125.719789,83,2.809471
120.976977,66,2.825919
33.02974,29,2.835576
13.734348,16,2.838942
67.973233,59,3.275093
17.443803,18,3.27866
70.744164,49,3.288152
18.984671,18,3.291337
32.864487,28,3.297159
105.777596,58,3.308241
123.272011,75,3.323
49.957349,38,3.329945
103.875171,84,3.346432
195.92064,95,3.364058
62.089724,39,3.371223
53.196229,37,3.378457
154.263022,75,3.393339
110.951904,64,3.405676
32.49232,36,3.412569
61.070662,37,3.419559
106.382108,60,3.430633
109.155399,71,3.445355
171.573543,120,3.469935
109.036527,67,3.482419
60.596141,46,3.491205
106.832608,59,3.502217
68.545257,43,3.510548
23.244157,24,3.515419
9.302867,17,3.519051
58.706773,37,3.525964
116.780773,68,3.539346
12.65852,22,3.543928
7.086532,9,3.545912
45.16857,36,3.552434
11.275435,14,3.555257
76.006613,48,3.565017
121.193464,70,3.578085
57.093473,35,3.584842
22.815105,27,3.590256
153.187083,93,3.608034
44.302627,44,3.616675
12.176921,19,3.620398
97.293185,56,3.631306
15.923248,25,3.636749
92.613178,59,3.648389
94.199083,57,3.659626
55.30526,34,3.666386
18.780343,48,4.057416
152.783475,72,4.070343
238.030246,120,4.095074
147.386226,73,4.108956
293.536228,129,4.133659
74.007386,46,4.141781
14.155485,18,4.145891
274.083901,118,4.16851
172.27137,83,4.184847
46.651774,31,4.191329
120.706841,69,4.205093
112.766817,69,4.218317
171.674617,98,4.236756
236.52541,115,4.259607
135.938024,71,4.27349
138.785856,72,4.28652
96.001234,55,4.297498
104.587289,57,4.308536
236.953217,123,4.331967
105.307595,57,4.342917
70.993497,43,4.351177
252.365806,126,4.375152
21.897346,20,4.378814
20.72367,32,4.384873
106.908725,62,4.397279
226.29476,105,4.417017
214.283077,98,4.435073
160.318466,82,4.834001
158.574402,81,4.850158
61.738598,42,4.858405
100.080549,57,4.91538
199.561533,93,4.964667
61.122968,41,4.972767
66.680561,44,4.987809
206.988549,92,5.007612
293.995537,124,5.031628
86.536088,50,5.041143
125.373338,67,5.054016
138.793606,71,5.067545
120.028947,66,5.080052
110.392654,72,5.093956
242.393054,116,5.116972
56.877534,41,5.133827
260.608922,117,5.156318
199.618714,110,5.176928
224.181299,99,5.196737
217.005308,101,5.215559
132.95772,70,5.22936
76.640588,48,5.23881
53.997605,39,5.246425
283.958172,120,5.269971
35.422331,37,5.278032
124.468559,75,5.292678
20.924623,19,5.29624
38.069985,29,5.302196
191.92448,117,5.719717
95.322697,54,5.730262
134.463184,70,5.743694
78.259334,48,5.753337
231.483746,120,5.776232
232.566359,114,5.799119
70.916127,43,5.806933
177.940155,91,5.824365
80.780569,48,5.833529
154.462502,93,5.851089
56.549418,35,5.858148
50.163682,31,5.864508
213.078054,103,5.884509
157.98813,78,5.901045
247.081217,107,5.922139
88.682409,49,5.932096
43.695314,33,5.938511
170.946524,89,5.955323
72.138511,45,5.963499
62.98672,38,5.971365
272.229253,128,5.996293
56.070368,35,6.002644
204.994657,95,6.021267
53.318747,33,6.027727
231.059274,111,6.049382
18.280122,18,6.052683
164.24589,86,6.069531
29.9323,28,6.074765
83.195904,49,6.083997
230.366011,99,6.103123
285.892687,124,6.507533
143.167652,85,6.523542
217.40476,98,6.541882
188.55392,91,6.558257
31.518937,23,6.562421
106.350014,71,6.57491
306.451265,137,6.599739
67.492368,41,6.607382
215.073866,96,6.624986
219.158681,116,6.646681
233.440841,107,6.667263
220.948727,101,6.686426
181.610005,98,6.703969
101.758922,60,6.714729
187.38372,94,6.731276
218.139168,105,6.74957
101.417267,57,6.759698
239.858407,121,6.780891
222.254952,108,6.800056
85.33065,52,6.809203
237.509719,107,6.827994
81.199585,48,6.836352
238.527379,120,6.859361
241.699837,120,7.242883
240.284916,102,7.260536
146.396678,77,7.2741
219.180596,103,7.292047
162.274609,78,7.305857
247.967298,117,7.326564
235.438638,117,7.347036
147.426312,79,7.360978
202.189927,94,7.377653
136.912655,75,7.390726
198.750571,100,7.408052
182.724579,90,7.424045
240.41461,120,7.447289
197.117384,103,7.465709
207.762968,95,7.483215
249.784383,109,7.503038
342.887557,156,7.531183
236.135079,121,7.552946
318.803948,135,7.577278
266.988934,124,7.958706
81.514782,49,7.968157
149.976152,85,7.983579
73.673114,44,7.991464
293.807743,140,8.01697
125.669957,69,8.030865
199.571283,97,8.049526
290.215964,114,8.070756
52.795652,33,8.076645
50.149332,31,8.082283
209.088746,100,8.099832
226.894385,111,8.119722
232.739038,101,8.137634
65.934103,38,8.144451
235.410003,117,8.164964
260.219703,114,8.185105
128.683095,70,8.197571
295.867986,119,8.219421
287.17286,125,8.242359
216.564318,114,8.263376
245.238532,121,8.284957
180.737833,95,8.301495
109.150494,65,8.312943
191.0809,91,8.714556
256.728528,114,8.736845
89.209094,53,8.747207
90.434141,57,8.758025
362.908438,173,8.790061
326.131575,146,8.818104
302.437449,122,8.842135
231.369647,106,8.862573
227.502406,114,8.884111
267.874535,117,8.906832
295.287659,121,8.930353
172.667762,96,8.949572
50.821183,31,8.955789
312.231697,140,8.983136
118.910595,64,8.99538
218.035731,108,9.016535
311.872178,131,9.042226
141.230662,74,9.055783
234.547475,117,9.07936
105.915056,59,9.090268
321.864043,134,9.510547
339.194992,135,9.535629
275.63925,121,9.558182
323.557164,132,9.582653
316.169756,138,9.608474
328.801089,139,9.634418
316.61927,126,9.65828
