#{"t_start": 1776737486.7722251, "env_id": "Hopper-v5"}
r,l,t
30.605905,32,3.667625
49.036158,36,3.674608
12.612202,16,3.677773
126.15185,66,3.690437
90.178674,58,3.701142
12.462669,34,3.708584
54.852939,34,3.715653
91.333499,66,4.125259
133.015315,67,4.137969
190.424888,103,4.157661
129.91874,70,4.170769
74.559715,44,4.179042
133.830471,75,4.192871
12.743232,23,4.197065
111.461921,64,4.20889
72.716912,44,4.216867
64.072367,39,4.223977
58.560326,36,4.230541
122.133186,69,4.243146
36.112997,29,4.248604
58.938856,36,4.25539
55.397778,34,4.261362
139.28062,68,4.27489
113.964655,64,4.286421
68.779926,42,4.293917
33.606155,29,4.299112
150.348417,73,4.312043
55.82402,35,4.318316
160.99392,92,4.334881
65.526242,40,4.34213
72.568024,43,4.350142
132.573558,69,4.362637
31.807755,25,4.367037
30.339626,26,4.371738
190.83108,92,4.388866
68.174807,41,4.39639
50.699651,31,4.402617
33.883956,28,4.408881
31.057055,24,4.413333
93.432674,67,4.42547
81.544776,47,4.433745
136.642348,68,4.445767
95.205379,53,4.455237
74.633861,44,4.463112
148.628219,73,4.476239
118.665571,62,4.487184
18.144858,19,4.490541
93.085821,52,4.867147
191.834247,92,4.884516
172.300747,79,4.899009
104.951003,62,4.910301
109.198043,65,4.92205
68.309874,40,4.929143
170.789119,82,4.944334
89.589649,51,4.953952
216.633071,95,4.983965
138.415628,79,5.050521
142.982673,71,5.086441
55.046131,34,5.103749
210.307351,126,5.13045
71.060241,44,5.139456
207.136833,92,5.157028
198.040386,91,5.17457
72.261,45,5.183191
232.013069,102,5.202634
175.417369,96,5.222056
112.952044,60,5.233521
148.129121,73,5.247796
128.209937,99,5.266583
56.11726,35,5.273637
112.932119,61,5.285206
49.675123,37,5.292281
196.025753,88,5.30984
10.469809,15,5.312704
215.855436,95,5.330886
120.979992,67,5.343372
93.885832,53,5.781009
170.358769,79,5.79668
58.971069,37,5.804262
79.659451,50,5.814364
31.103876,25,5.819504
212.881102,97,5.837679
88.058374,50,5.847392
134.069386,67,5.861028
63.479336,39,5.870321
65.12765,40,5.877692
183.725143,85,5.895026
225.008481,134,5.920644
199.081683,94,5.939531
124.930379,65,5.951385
218.588882,103,5.973454
172.59675,81,5.989853
185.851631,88,6.006897
52.418316,32,6.013283
198.770472,90,6.030052
104.5332,61,6.043324
213.579566,93,6.061689
148.592357,72,6.076215
156.11817,74,6.091935
44.064222,32,6.098783
136.508652,71,6.113445
218.685683,102,6.133566
160.492365,86,6.150554
59.09892,40,6.157899
115.288849,73,6.172934
84.731331,50,6.182485
63.993858,39,6.574677
210.076785,93,6.592315
239.533246,113,6.613124
126.196955,65,6.625038
100.471211,57,6.635319
185.224293,84,6.651043
211.180573,93,6.668242
75.193624,46,6.676673
219.539881,96,6.695106
215.546941,95,6.715007
205.666718,92,6.732548
135.614591,70,6.746191
222.001279,103,6.765127
220.393267,98,6.783638
212.335914,94,6.801299
220.408377,97,6.819625
74.576868,45,6.828191
221.989176,99,6.846083
131.818101,67,6.859233
212.928407,94,6.87813
201.369624,90,6.895036
76.298679,45,6.903219
95.977949,61,6.914443
219.236389,97,6.932728
210.41035,106,6.952897
211.849971,95,7.341306
55.416613,34,7.348083
85.794723,49,7.357239
216.609635,95,7.37446
208.303109,96,7.391384
195.008733,91,7.407743
228.258301,108,7.427996
190.635355,89,7.444408
193.677,88,7.461575
223.423105,99,7.479782
136.554987,75,7.493904
184.198006,86,7.509836
96.078727,53,7.51993
52.997375,33,7.526906
215.763771,106,7.547912
112.514699,60,7.559837
165.327976,78,7.575105
232.435861,115,7.596651
91.73793,54,7.606998
207.322831,94,7.624268
78.081061,46,7.632845
155.983031,78,7.647046
214.205695,96,7.664856
