#{"t_start": 1776737834.621585, "env_id": "Hopper-v5"}
r,l,t
1.785751,26,0.98672
12.343381,16,1.00445
14.731862,15,1.018883
23.132492,38,1.041073
13.706972,24,1.051288
6.447151,14,1.05676
18.107524,24,1.063411
10.857491,17,1.069664
32.423059,27,1.097705
6.895685,21,1.125459
38.40514,36,1.137683
13.808487,17,1.146205
13.798855,14,1.154574
8.334489,12,1.157319
5.049295,21,1.162072
19.30448,20,1.167594
10.220689,12,1.172386
8.72844,21,1.181567
20.289284,19,1.19602
9.53734,14,1.202546
10.078685,18,1.20832
10.052302,15,1.212542
17.53935,18,1.218433
7.212416,10,1.220907
9.065131,19,1.228511
6.836489,11,1.231564
8.833854,19,1.242917
12.94723,18,1.247175
10.206299,18,1.251078
18.919963,19,1.256562
24.449703,26,1.262763
23.151118,21,1.267542
13.409179,15,1.2719
6.038167,13,1.274893
17.843681,27,1.282406
11.28018,22,1.286998
8.820011,18,1.290834
17.700428,21,1.296175
9.36074,14,1.299525
10.526047,16,1.302497
10.36754,25,1.307614
8.769466,16,1.310865
11.033378,13,1.31325
4.015696,10,1.315032
8.217532,11,1.317168
22.115468,22,1.321203
28.110547,27,1.326587
6.387897,14,1.329376
6.813674,17,1.332601
4.613733,24,1.337464
23.708406,30,1.343604
6.732175,13,1.346711
30.55525,29,1.352159
7.982114,15,1.355642
3.683052,8,1.357045
5.678701,11,1.359015
9.441998,12,1.362338
19.595176,28,1.367611
9.076755,11,1.369521
49.152908,44,1.378645
10.036476,19,1.382692
16.053328,31,1.388907
4.278589,9,1.390656
10.620704,21,1.394477
11.762909,18,1.397759
22.814754,22,1.40242
55.644634,58,1.414634
12.752149,16,1.417842
6.068965,17,1.421406
8.511451,13,1.424126
22.111151,21,1.42826
18.674577,19,1.432546
22.480635,48,1.442609
11.820683,23,1.446847
6.918397,12,1.448913
2.931098,7,1.450404
10.088465,22,1.454734
6.841165,11,1.456805
17.452011,17,1.460073
4.202992,8,1.461541
19.563182,23,1.465763
3.961933,8,1.467128
12.654338,15,1.470144
19.845712,19,1.474027
9.569459,16,1.476934
22.146279,30,1.483086
6.029375,18,1.486541
18.766236,22,1.491243
7.187086,10,1.493088
12.124074,14,1.495767
5.807888,11,1.4979
28.071035,25,1.502965
19.159628,20,1.50688
13.604211,17,1.510129
27.174946,31,1.516385
5.542125,9,1.518004
5.442629,10,1.519772
8.336972,11,1.521974
8.438753,11,1.524054
11.646747,13,1.526449
54.750119,36,1.533463
5.523356,12,1.535865
6.888531,10,1.537633
5.00508,16,1.541142
9.225402,12,1.543272
8.295544,11,1.545239
25.069897,33,1.552024
6.708051,17,1.555172
100.028407,58,2.001898
61.917976,47,2.010835
13.048109,14,2.013387
18.687825,19,2.017695
30.149382,46,2.026729
10.68416,24,2.031164
5.564201,10,2.033353
11.931917,18,2.037189
77.120206,71,2.051479
52.565939,52,2.061286
16.440801,24,2.065665
19.867283,22,2.070282
85.444129,53,2.080202
27.884681,29,2.085459
7.554934,13,2.087828
93.942174,52,2.097348
13.452024,23,2.101651
150.140346,76,2.115519
11.907039,14,2.118005
41.892025,41,2.125354
40.710299,32,2.131204
6.947246,19,2.134626
8.012835,11,2.136559
91.75432,64,2.148076
42.885668,41,2.15547
21.849669,21,2.159363
24.526621,24,2.163638
88.420171,50,2.172831
178.356592,113,2.193247
24.008812,23,2.197386
55.106284,38,2.20424
8.269722,13,2.206609
12.033016,16,2.209439
213.487343,117,2.230849
12.578345,15,2.233709
82.468139,50,2.243081
13.383664,16,2.246137
83.139183,76,2.260113
14.634084,16,2.262996
12.62387,15,2.265747
9.615126,17,2.268852
16.925584,18,2.272102
200.177137,111,2.29193
10.86594,17,2.295004
13.386624,16,2.297882
19.973067,25,2.302616
17.517455,20,2.306352
26.574811,30,2.312254
8.059246,11,2.314312
10.947605,14,2.316931
157.924382,80,2.332598
6.124032,16,2.335781
14.920328,18,2.339213
4.906203,29,2.344711
6.157184,13,2.347487
13.500557,19,2.350987
10.484415,16,2.356145
6.279478,12,2.358396
80.87015,54,2.36802
20.63065,20,2.371574
6.940846,14,2.37406
13.340135,21,2.753903
9.262225,15,2.756677
145.050535,79,2.771049
219.504307,110,2.791158
92.289984,70,2.803891
50.477835,41,2.811311
8.548424,21,2.815158
70.502392,43,2.822872
79.365464,48,2.831291
91.423573,57,2.841578
183.4529,102,2.859779
45.34061,46,2.8683
83.025808,68,2.880718
135.766194,74,2.894016
23.940077,28,2.89906
10.070595,14,2.901508
116.359532,72,2.914914
12.045197,16,2.918015
20.577141,23,2.922336
76.691129,45,2.930568
134.910135,70,2.943342
79.004133,49,2.952352
75.889587,53,2.962003
89.17925,52,2.971405
17.71536,31,2.977054
116.348101,65,2.988616
106.943276,65,3.000357
9.151526,23,3.004431
23.017301,33,3.010408
154.713038,104,3.031374
104.950484,69,3.045296
49.365083,42,3.053896
19.843378,21,3.058041
86.065928,53,3.068139
11.189893,14,3.070715
65.610886,41,3.078087
14.405386,15,3.080836
19.880721,24,3.085143
77.69689,45,3.093665
22.268931,19,3.097116
36.49298,34,3.103657
87.613681,51,3.11312
29.252019,29,3.11848
21.346414,23,3.122621
112.067944,68,3.502474
140.693183,71,3.515345
14.310869,17,3.518481
21.387756,22,3.522421
11.37186,15,3.525088
49.39934,50,3.53418
23.483528,21,3.538018
58.710128,35,3.544203
151.856285,109,3.563965
114.256985,65,3.575714
188.874222,102,3.5942
33.032204,34,3.600401
14.239545,17,3.603511
72.243812,66,3.615454
176.340882,89,3.631627
100.074416,58,3.641869
34.462687,28,3.646869
49.262472,57,3.657121
93.916661,71,3.669997
121.397005,64,3.681427
74.707651,47,3.689861
8.879982,13,3.692214
60.626214,41,3.699338
46.539601,29,3.704535
79.749938,46,3.71267
129.185656,68,3.724815
130.201381,70,3.737229
148.730712,74,3.750293
27.653892,26,3.755007
14.517767,17,3.75803
89.328074,85,3.773084
95.212875,54,3.782792
87.878456,65,3.794447
58.507173,59,3.805201
10.60749,13,3.807524
28.263786,27,3.812351
107.022617,66,3.824286
124.014952,64,3.835842
93.010722,53,3.845218
44.348915,36,3.851691
148.421853,73,3.864466
73.845041,48,4.244994
26.962945,25,4.249702
70.77357,44,4.258392
68.669548,42,4.267192
181.019785,88,4.283826
130.467311,68,4.296953
39.634514,42,4.30606
187.494446,95,4.325713
75.996184,51,4.33555
106.761744,59,4.346652
107.225852,59,4.358127
83.698848,52,4.367954
190.959848,88,4.385219
46.390717,37,4.392544
189.554719,97,4.411269
109.58636,69,4.425269
13.527719,36,4.431852
217.424807,114,4.454
170.772058,118,4.476544
33.993919,35,4.482873
153.404647,80,4.498383
25.516298,30,4.504024
71.248316,44,4.512933
222.317765,120,4.537217
139.307693,81,4.552842
85.880252,48,4.562416
141.699911,76,4.577057
82.375791,48,4.586111
90.446237,65,4.598831
178.529243,87,4.615601
61.98269,38,4.622944
132.20358,70,5.001783
131.764373,82,5.017004
157.305835,102,5.035303
222.456872,110,5.055567
226.0602,102,5.074013
102.205994,57,5.08438
81.436403,52,5.093839
184.704278,106,5.112989
103.733655,57,5.123176
112.528633,60,5.133822
190.488896,99,5.151698
94.129006,52,5.161621
178.098327,91,5.179302
184.41751,116,5.200451
155.645878,78,5.214524
140.56478,70,5.227039
144.16922,92,5.24386
31.505091,34,5.250032
225.192506,103,5.268643
38.723827,47,5.277258
65.549346,53,5.286873
51.85976,38,5.293735
184.774483,103,5.312319
264.741206,144,5.338408
234.941467,115,5.358548
116.453388,78,5.372444
238.534022,124,5.758936
120.463953,95,5.776623
105.024376,57,5.786698
152.342845,75,5.800279
180.501362,90,5.81628
96.495131,57,5.826564
91.831338,53,5.836083
211.174782,93,5.853112
131.088972,79,5.868118
161.317021,78,5.882177
88.422133,49,5.890941
202.105193,92,5.907569
191.232096,90,5.923829
223.800187,104,5.942749
228.382429,105,5.961947
69.232993,41,5.970472
206.577038,97,5.990127
219.555397,108,6.011364
83.020473,52,6.021359
81.431249,47,6.030556
237.85428,105,6.050332
27.007883,50,6.060392
204.900766,91,6.07729
93.617105,55,6.087901
123.601746,69,6.100537
245.051537,132,6.508166
64.609042,40,6.516404
230.405382,112,6.538096
231.19626,111,6.558877
210.280696,93,6.575894
212.740436,98,6.593897
201.726524,91,6.610404
143.121132,72,6.62351
219.681382,102,6.642325
153.040527,74,6.655596
121.396854,67,6.667667
50.147722,34,6.673825
246.749332,111,6.693869
230.878234,108,6.715024
203.431814,91,6.760387
238.165724,115,6.782116
252.038672,127,6.807284
216.771401,97,6.825778
192.320202,107,6.846028
225.411737,103,6.866017
149.539744,73,6.879679
208.50894,105,6.899749
204.114417,91,7.303274
232.122437,101,7.324344
109.019706,59,7.33641
209.551913,95,7.355605
222.369068,102,7.374426
69.223288,42,7.382811
215.905231,102,7.402796
84.338948,49,7.412292
142.917649,73,7.426158
238.754978,118,7.453488
224.636679,104,7.480751
226.426595,105,7.502869
223.608757,97,7.522714
188.359511,89,7.539974
85.241953,49,7.548917
134.604108,71,7.562159
220.273365,105,7.584019
207.355958,91,7.601753
200.318307,98,7.620886
207.611136,99,7.646412
17.0849,19,7.650616
217.569411,99,7.675266
242.390282,109,7.769093
213.546667,94,7.825819
102.354143,63,7.851206
152.707648,80,8.620961
202.809427,94,8.640954
225.322758,98,8.660091
220.909522,98,8.681323
220.786691,101,8.701489
239.584283,118,8.725319
224.168242,100,8.745628
256.877488,137,8.773104
214.240511,104,8.79435
136.274189,79,8.809852
212.48411,94,8.828429
108.010967,58,8.840229
222.916684,97,8.859375
208.037949,94,8.877564
233.79067,112,8.899617
227.057022,106,8.919774
224.419835,105,8.939703
192.655775,91,8.956591
211.942313,96,8.975279
225.500273,101,8.994152
96.478167,53,9.004154
179.420001,82,9.411566
241.69425,116,9.459236
215.72896,101,9.479345
225.655361,98,9.498171
128.573868,74,9.513549
184.296946,83,9.52935
217.9036,94,9.548068
210.405615,93,9.565993
233.893863,106,9.58624
174.783088,101,9.606333
234.549617,107,9.627143
82.296061,47,9.636424
218.945469,97,9.655438
214.882988,94,9.67366
235.926557,107,9.694142
188.980507,86,9.7107
67.091947,45,9.719187
212.131704,93,9.737086
149.460196,73,9.750579
208.277052,97,9.768748
96.286767,56,9.77908
235.896796,111,9.799605
172.861585,81,9.815036
